primitive_type,algorithm,operation,iterations,total_samples,sample_rate_hz,total_duration_s,per_op_duration_ms,baseline_power_w,avg_gross_power_w,avg_net_power_w,total_gross_energy_j,total_net_energy_j,per_op_net_energy_j,per_op_net_energy_uj,csv_path
KEM,ML-KEM-512,keygen,26400,3747,1870.0,2.0037,0.076,3.1137,3.7946,0.6808,7.616519,1.377402,5.2174e-05,52.174,energy_bench_results/traces/trace_ML_KEM_512_keygen.csv
KEM,ML-KEM-512,encaps,33800,3703,1847.0,2.0049,0.059,3.1137,3.9409,0.8272,7.931626,1.688937,4.9969e-05,49.969,energy_bench_results/traces/trace_ML_KEM_512_encaps.csv
KEM,ML-KEM-512,decaps,30000,3754,1874.8,2.0024,0.067,3.1137,3.8447,0.731,7.704497,1.469666,4.8989e-05,48.989,energy_bench_results/traces/trace_ML_KEM_512_decaps.csv
KEM,ML-KEM-768,keygen,19400,3709,1846.3,2.0089,0.104,3.1184,3.8254,0.707,7.690992,1.42652,7.3532e-05,73.532,energy_bench_results/traces/trace_ML_KEM_768_keygen.csv
KEM,ML-KEM-768,encaps,23000,3757,1869.2,2.0099,0.087,3.1184,3.8306,0.7123,7.707359,1.439612,6.2592e-05,62.592,energy_bench_results/traces/trace_ML_KEM_768_encaps.csv
KEM,ML-KEM-768,decaps,21400,3780,1873.3,2.0178,0.094,3.1184,3.8467,0.7283,7.771229,1.478944,6.911e-05,69.11,energy_bench_results/traces/trace_ML_KEM_768_decaps.csv
KEM,ML-KEM-1024,keygen,14800,3271,1633.3,2.0027,0.135,3.1057,3.9533,0.8476,7.936141,1.716187,0.000115959,115.959,energy_bench_results/traces/trace_ML_KEM_1024_keygen.csv
KEM,ML-KEM-1024,encaps,16600,2204,1096.3,2.0105,0.121,3.1057,3.9912,0.8855,7.982135,1.738182,0.00010471,104.71,energy_bench_results/traces/trace_ML_KEM_1024_encaps.csv
KEM,ML-KEM-1024,decaps,15600,2222,1097.9,2.0239,0.13,3.1057,3.876,0.7703,7.858686,1.57295,0.00010083,100.83,energy_bench_results/traces/trace_ML_KEM_1024_decaps.csv
KEM,HQC-128,keygen,200,4351,976.4,4.4561,22.279,3.2624,4.612,1.3496,20.76717,6.229414,0.03114707,31147.07,energy_bench_results/traces/trace_HQC_128_keygen.csv
KEM,HQC-128,encaps,200,11833,1327.4,8.9145,44.574,3.2624,4.1594,0.897,38.236655,9.153795,0.045768973,45768.973,energy_bench_results/traces/trace_HQC_128_encaps.csv
KEM,HQC-128,decaps,200,27451,1878.9,14.6102,73.053,3.2624,3.8825,0.6201,56.821917,9.157437,0.045787184,45787.184,energy_bench_results/traces/trace_HQC_128_decaps.csv
KEM,HQC-192,keygen,200,25352,1881.0,13.478,67.392,3.2882,3.8757,0.5875,52.331157,8.012336,0.040061682,40061.682,energy_bench_results/traces/trace_HQC_192_keygen.csv
KEM,HQC-192,encaps,200,51020,1885.0,27.0661,135.331,3.2882,3.8849,0.5967,105.30024,16.300827,0.081504136,81504.136,energy_bench_results/traces/trace_HQC_192_encaps.csv
KEM,HQC-192,decaps,200,79500,1882.7,42.2273,211.136,3.2882,3.8552,0.567,163.021057,24.168389,0.120841944,120841.944,energy_bench_results/traces/trace_HQC_192_decaps.csv
KEM,HQC-256,keygen,200,46747,1892.8,24.6975,123.488,3.2178,3.8105,0.5928,94.187038,14.716265,0.073581325,73581.325,energy_bench_results/traces/trace_HQC_256_keygen.csv
KEM,HQC-256,encaps,200,94228,1894.3,49.7426,248.713,3.2178,3.7204,0.5027,185.198688,25.138904,0.125694518,125694.518,energy_bench_results/traces/trace_HQC_256_encaps.csv
KEM,HQC-256,decaps,200,148160,1889.1,78.4275,392.139,3.2178,3.7584,0.5407,295.142646,42.781556,0.21390778,213907.78,energy_bench_results/traces/trace_HQC_256_decaps.csv
SIG,ML-DSA-44,keygen,8200,3793,1876.1,2.0217,0.247,3.1915,3.8807,0.6893,7.846107,1.393777,0.000169973,169.973,energy_bench_results/traces/trace_ML_DSA_44_keygen.csv
SIG,ML-DSA-44,sign,2200,3994,1897.1,2.1053,0.957,3.1915,3.9747,0.7832,8.368261,1.649304,0.000749684,749.684,energy_bench_results/traces/trace_ML_DSA_44_sign.csv
SIG,ML-DSA-44,verify,8200,3833,1891.0,2.027,0.247,3.1915,3.8992,0.7077,7.903633,1.434625,0.000174954,174.954,energy_bench_results/traces/trace_ML_DSA_44_verify.csv
SIG,ML-DSA-65,keygen,4800,3764,1874.5,2.008,0.418,3.1593,3.9859,0.8266,8.009344,1.665398,0.000346958,346.958,energy_bench_results/traces/trace_ML_DSA_65_keygen.csv
SIG,ML-DSA-65,sign,1400,3976,1849.9,2.1493,1.535,3.1593,4.0548,0.8954,8.732497,1.94214,0.001387243,1387.243,energy_bench_results/traces/trace_ML_DSA_65_sign.csv
SIG,ML-DSA-65,verify,5400,3859,1875.5,2.0575,0.381,3.1593,3.9238,0.7644,8.084494,1.584012,0.000293336,293.336,energy_bench_results/traces/trace_ML_DSA_65_verify.csv
SIG,ML-DSA-87,keygen,3400,3936,1884.9,2.0881,0.614,3.1545,3.7385,0.584,7.815452,1.228493,0.000361321,361.321,energy_bench_results/traces/trace_ML_DSA_87_keygen.csv
SIG,ML-DSA-87,sign,1200,4148,1890.0,2.1948,1.829,3.1545,3.8495,0.695,8.452964,1.529613,0.001274678,1274.678,energy_bench_results/traces/trace_ML_DSA_87_sign.csv
SIG,ML-DSA-87,verify,3400,3952,1888.3,2.0929,0.616,3.1545,3.5394,0.3849,7.415963,0.813915,0.000239387,239.387,energy_bench_results/traces/trace_ML_DSA_87_verify.csv
SIG,Falcon-512,keygen,200,7023,1883.1,3.7295,18.649,3.2307,3.4937,0.263,13.049359,1.000477,0.005002385,5002.385,energy_bench_results/traces/trace_Falcon_512_keygen.csv
SIG,Falcon-512,sign,3200,3874,1883.5,2.0568,0.643,3.2307,3.7969,0.5662,7.824018,1.179016,0.000368442,368.442,energy_bench_results/traces/trace_Falcon_512_sign.csv
SIG,Falcon-512,verify,19000,3790,1885.3,2.0103,0.106,3.2307,3.7768,0.5461,7.59948,1.10497,5.8156e-05,58.156,energy_bench_results/traces/trace_Falcon_512_verify.csv
SIG,Falcon-1024,keygen,200,21349,1890.7,11.2918,56.46,2.9864,3.4587,0.4723,39.092923,5.371201,0.026856004,26856.004,energy_bench_results/traces/trace_Falcon_1024_keygen.csv
SIG,Falcon-1024,sign,1600,3897,1881.5,2.0712,1.295,2.9864,3.6103,0.6239,7.485205,1.299776,0.00081236,812.36,energy_bench_results/traces/trace_Falcon_1024_sign.csv
SIG,Falcon-1024,verify,10800,3825,1878.1,2.0366,0.189,2.9864,3.453,0.4666,7.041251,0.959218,8.8816e-05,88.816,energy_bench_results/traces/trace_Falcon_1024_verify.csv
SIG,SPHINCS+-SHA2-128s-simple,keygen,200,72971,1887.6,38.6584,193.292,2.8683,3.6308,0.7626,140.60067,29.718523,0.148592613,148592.613,energy_bench_results/traces/trace_SPHINCSplus_SHA2_128s_simple_keygen.csv
SIG,SPHINCS+-SHA2-128s-simple,sign,200,554758,1887.6,293.8906,1469.455,2.8683,3.6843,0.8161,1084.310118,241.356364,1.206781822,1206781.822,energy_bench_results/traces/trace_SPHINCSplus_SHA2_128s_simple_sign.csv
SIG,SPHINCS+-SHA2-128s-simple,verify,1600,4289,1888.9,2.2706,1.419,2.8683,3.7626,0.8944,8.553894,2.041205,0.001275753,1275.753,energy_bench_results/traces/trace_SPHINCSplus_SHA2_128s_simple_verify.csv
SIG,SPHINCS+-SHA2-192s-simple,keygen,200,106338,1886.1,56.3793,281.899,3.0126,3.7994,0.7868,214.47975,44.633198,0.223165989,223165.989,energy_bench_results/traces/trace_SPHINCSplus_SHA2_192s_simple_keygen.csv
SIG,SPHINCS+-SHA2-192s-simple,sign,200,982382,1887.3,520.5213,2602.607,3.0126,3.7801,0.7676,1970.26297,402.156454,2.010782272,2010782.272,energy_bench_results/traces/trace_SPHINCSplus_SHA2_192s_simple_sign.csv
SIG,SPHINCS+-SHA2-192s-simple,verify,1000,4165,1893.4,2.1997,2.2,3.0126,3.7817,0.7692,8.327104,1.700271,0.001700271,1700.271,energy_bench_results/traces/trace_SPHINCSplus_SHA2_192s_simple_verify.csv
SIG,SPHINCS+-SHA2-256s-simple,keygen,200,70257,1880.4,37.3631,186.817,2.9124,3.8812,0.9688,145.2243,36.408778,0.18204389,182043.89,energy_bench_results/traces/trace_SPHINCSplus_SHA2_256s_simple_keygen.csv
SIG,SPHINCS+-SHA2-256s-simple,sign,200,874935,1885.2,464.1022,2320.513,2.9124,3.8499,0.9375,1789.085561,437.444213,2.187221066,2187221.066,energy_bench_results/traces/trace_SPHINCSplus_SHA2_256s_simple_sign.csv
SIG,SPHINCS+-SHA2-256s-simple,verify,800,5024,1894.3,2.6521,3.316,2.9124,3.7906,0.8782,10.060641,2.336674,0.002920843,2920.843,energy_bench_results/traces/trace_SPHINCSplus_SHA2_256s_simple_verify.csv
AEAD,AES-256-GCM,encrypt_1024B,72400,36,18.9,1.9098,0.028,3.037,3.995,0.958,7.657902,1.857841,2.5661e-05,25.661,energy_bench_results/traces/trace_AES_256_GCM_encrypt_1024B.csv
